# id> internal counter
# ope_call_id> internal foreign key for ope_calls structure. Each represents one call. Relation 1:1 to ope_calls
# ope_wup_question_id> id of predefined call type - what is customer asking for (no custom possible)
# ope_wup_answer_id> id of predefined answeres to that question (no custom possible)
# created_ad, updated_at> timestamp of database insert

"id","ope_call_id","ope_wup_question_id","ope_wup_answer_id","created_at","updated_at"
"231","303643","1","1","2014-03-28 10:33:16","2014-03-28 10:33:16"
"235","303733","7","9","2014-03-28 10:33:52","2014-03-28 10:33:52"
"243","303721","5","7","2014-03-28 10:34:52","2014-03-28 10:34:52"
"245","303725","5","3","2014-03-28 10:35:13","2014-03-28 10:35:13"
"247","303795","5","7","2014-03-28 10:35:38","2014-03-28 10:35:38"
"251","303831","1","1","2014-03-28 10:36:02","2014-03-28 10:36:02"
"253","303807","3","7","2014-03-28 10:36:43","2014-03-28 10:36:43"
"257","303831","5","7","2014-03-28 10:37:12","2014-03-28 10:37:12"
"259","303849","5","3","2014-03-28 10:37:41","2014-03-28 10:37:41"
"261","303849","7","9","2014-03-28 10:37:46","2014-03-28 10:37:46"
"263","303889","3","3","2014-03-28 10:38:26","2014-03-28 10:38:26"
"265","303949","3","7","2014-03-28 10:38:49","2014-03-28 10:38:49"
"267","303979","11","17","2014-03-28 10:39:10","2014-03-28 10:39:10"
"269","303983","3","3","2014-03-28 10:40:07","2014-03-28 10:40:07"
"271","304015","3","7","2014-03-28 10:40:09","2014-03-28 10:40:09"
"273","304057","11","17","2014-03-28 10:41:02","2014-03-28 10:41:02"
"275","304049","5","7","2014-03-28 10:41:51","2014-03-28 10:41:51"
"277","304155","3","7","2014-03-28 10:42:58","2014-03-28 10:42:58"
"279","304231","5","3","2014-03-28 10:44:47","2014-03-28 10:44:47"
"281","304091","7","9","2014-03-28 10:45:29","2014-03-28 10:45:29"
"283","304133","11","17","2014-03-28 10:45:40","2014-03-28 10:45:40"
"287","304205","7","9","2014-03-28 10:47:21","2014-03-28 10:47:21"
"289","304267","5","7","2014-03-28 10:48:25","2014-03-28 10:48:25"
"291","304393","3","7","2014-03-28 10:48:50","2014-03-28 10:48:50"
"293","304297","5","5","2014-03-28 10:49:25","2014-03-28 10:49:25"
"295","304297","11","17","2014-03-28 10:49:29","2014-03-28 10:49:29"
"319","304457","5","7","2014-03-28 10:51:20","2014-03-28 10:51:20"
"329","304521","5","7","2014-03-28 10:52:38","2014-03-28 10:52:38"
"333","304545","3","7","2014-03-28 10:53:02","2014-03-28 10:53:02"
"335","304599","3","7","2014-03-28 10:54:45","2014-03-28 10:54:45"
"337","304675","5","7","2014-03-28 10:56:02","2014-03-28 10:56:02"
"339","304747","3","7","2014-03-28 10:57:23","2014-03-28 10:57:23"
"341","304829","5","3","2014-03-28 10:59:41","2014-03-28 10:59:41"
"343","304823","3","3","2014-03-28 10:59:45","2014-03-28 10:59:45"
"345","304829","5","7","2014-03-28 10:59:47","2014-03-28 10:59:47"
"347","304835","5","3","2014-03-28 10:59:53","2014-03-28 10:59:53"
"349","304891","3","3","2014-03-28 11:00:41","2014-03-28 11:00:41"
"351","304965","1","1","2014-03-28 11:02:20","2014-03-28 11:02:20"
"353","304859","5","7","2014-03-28 11:02:42","2014-03-28 11:02:42"
"355","305035","5","7","2014-03-28 11:04:44","2014-03-28 11:04:44"
"357","305149","5","7","2014-03-28 11:07:12","2014-03-28 11:07:12"
"361","305027","5","5","2014-03-28 11:07:23","2014-03-28 11:07:23"
"363","305313","5","5","2014-03-28 11:08:34","2014-03-28 11:08:34"
"365","305465","11","17","2014-03-28 11:10:42","2014-03-28 11:10:42"
"367","306079","3","7","2014-03-28 11:14:14","2014-03-28 11:14:14"
"369","306237","3","3","2014-03-28 11:15:32","2014-03-28 11:15:32"
"371","306205","5","7","2014-03-28 11:15:39","2014-03-28 11:15:39"
"373","306401","11","17","2014-03-28 11:16:58","2014-03-28 11:16:58"
"375","306321","1","1","2014-03-28 11:17:00","2014-03-28 11:17:00"
"377","306525","3","7","2014-03-28 11:18:41","2014-03-28 11:18:41"
"379","306513","3","7","2014-03-28 11:18:42","2014-03-28 11:18:42"
"381","306677","5","7","2014-03-28 11:20:29","2014-03-28 11:20:29"
"383","306977","7","9","2014-03-28 11:21:23","2014-03-28 11:21:23"
"385","307111","3","3","2014-03-28 11:22:07","2014-03-28 11:22:07"
"387","307049","1","1","2014-03-28 11:22:54","2014-03-28 11:22:54"
"389","307239","3","7","2014-03-28 11:23:52","2014-03-28 11:23:52"
"391","307383","3","7","2014-03-28 11:25:03","2014-03-28 11:25:03"
"393","307537","5","7","2014-03-28 11:26:23","2014-03-28 11:26:23"
"395","307723","3","3","2014-03-28 11:27:34","2014-03-28 11:27:34"
"397","308023","3","3","2014-03-28 11:29:32","2014-03-28 11:29:32"
"399","308057","3","3","2014-03-28 11:29:59","2014-03-28 11:29:59"
"401","308095","3","3","2014-03-28 11:30:22","2014-03-28 11:30:22"
"403","308277","3","7","2014-03-28 11:32:16","2014-03-28 11:32:16"
"405","308589","5","5","2014-03-28 11:33:39","2014-03-28 11:33:39"
"407","308425","1","1","2014-03-28 11:34:38","2014-03-28 11:34:38"
"409","308727","5","3","2014-03-28 11:34:51","2014-03-28 11:34:51"
"411","308765","7","9","2014-03-28 11:35:48","2014-03-28 11:35:48"
"413","308861","3","7","2014-03-28 11:36:23","2014-03-28 11:36:23"
"415","308769","3","7","2014-03-28 11:36:32","2014-03-28 11:36:32"
"417","308929","5","7","2014-03-28 11:37:08","2014-03-28 11:37:08"
"419","309107","3","3","2014-03-28 11:37:34","2014-03-28 11:37:34"
"421","309201","5","3","2014-03-28 11:38:35","2014-03-28 11:38:35"
"423","309159","3","7","2014-03-28 11:38:36","2014-03-28 11:38:36"
"425","309251","5","3","2014-03-28 11:39:00","2014-03-28 11:39:00"
"427","309117","11","13","2014-03-28 11:39:20","2014-03-28 11:39:20"
"429","309321","5","7","2014-03-28 11:40:11","2014-03-28 11:40:11"
"431","309417","3","7","2014-03-28 11:40:19","2014-03-28 11:40:19"
"433","309447","5","3","2014-03-28 11:41:19","2014-03-28 11:41:19"
"435","309437","7","9","2014-03-28 11:41:39","2014-03-28 11:41:39"
"437","309571","5","3","2014-03-28 11:41:42","2014-03-28 11:41:42"
"439","309599","5","5","2014-03-28 11:42:33","2014-03-28 11:42:33"
"441","309757","1","1","2014-03-28 11:44:06","2014-03-28 11:44:06"
"443","309895","3","3","2014-03-28 11:44:14","2014-03-28 11:44:14"
"445","309897","5","7","2014-03-28 11:45:34","2014-03-28 11:45:34"
"447","309963","3","7","2014-03-28 11:45:45","2014-03-28 11:45:45"
"449","310019","11","17","2014-03-28 11:46:12","2014-03-28 11:46:12"
"451","310145","5","7","2014-03-28 11:46:29","2014-03-28 11:46:29"
