# call_id> Primární klíč. Pokud je 40 znaků dlouhý, hovor nemá v ostatních tabulkách vazby. Pokud je 20 znaků dlouhý, existují vazební data v ostatních out.c tabulkách
# length> Délka hovoru v sekundách
# from> hash volajícího čísla
# to> pokud je hodnota 1xxxx, jedná se o příchozí hovor a ID znamená číslo linky. Pokud je hodnota 8xxxx, je to ID konkrétního operátora (zvedače).
# international> zda jde o mezinárodní volání
# time_block> časový blok, kdy došlo k uskutečnění hovoru
# service_id> id služby na kterou zákazník volá
# length_9>
# length_C>
# length_O>
# length_7>
# operator> telefonní operátor (O2, T-mobile...)
# ope_agent> z ope_calls
# ope_line> z ope_calls
# wup_question_id> z ope_wup_logs
# wup_answer_id> z ope_wup_logs
# cancelled>
# ivr>
# time_segment_id>
# length_B>
# transferred_external> zda došlo k přepojení hovoru

"call_id","length","from","to","international","time_block","service_id","length_9","length_C","length_O","length_7","operator","ope_agent","ope_line","wup_question_id","wup_answer_id","cancelled","ivr","time_segment_id","length_B","transferred_external"
"1000003366448597845517626454697597350771","121","c77fbf3b52d58446a8153f87e7518893","80356","0","2012-11-23 13:45:00","NULL","121","NULL","NULL","NULL","-1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"100000383559839863816007847272709050140","77","2c039bd1d75ccaefbb2ddede2c2ea941","11885","0","2014-05-14 11:30:00","6","77","NULL","NULL","NULL","3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"1000003967726648030710669414021348642178","55","e0d9f3d72fad961e41786c8c4fe90582","80451","0","2012-11-14 16:15:00","NULL","55","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"00001119681407677041","77","47cbc2df45cb79b2168a4d889e9e07a0","11885","0","2014-08-10 15:15:00","6","77","41","NULL","41","3","NULL","NULL","NULL","NULL","0","0","NULL","NULL","0"
"100000412568546828328887050728563730613","44","64ce538127b536901148a4f01236fd09","11803","0","2013-01-17 11:45:00","7","44","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"100000419010320674778716041917403806240","59","4509adbb35bbf5c67ab6a8dbb1cce002","80163","0","2013-06-20 12:30:00","NULL","59","NULL","NULL","NULL","3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"100000427208422522899840532869366515818","261","a312b658930787ecede5273b0cb13d60","11886","0","2014-01-13 11:30:00","6","261","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"1000004608820287431911467374129042539485","143","22c8b59d283f9a11890167dd30ec1b08","80478","0","2013-06-26 10:00:00","NULL","143","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"1000004702078714469912077264153572436732","221","e8f35f8f7fce63b61a726504e32806b8","80153","0","2013-08-29 10:45:00","NULL","221","NULL","NULL","NULL","3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"1000004892888125301410742873672996576734","149","7bb5d5649f27e5473a5ebe2914b1257f","80294","0","2012-07-21 09:00:00","NULL","149","NULL","NULL","NULL","-1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"1000004893192287234215706270561769247834","179","56018435c62677adccbcd4425e000f49","11885","0","2014-04-04 10:45:00","6","179","NULL","NULL","NULL","-1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"1000005204376895520916704035324290818989","162","27cd1eef078f1c620372d2649b09b880","80120","0","2012-11-11 18:30:00","NULL","162","NULL","NULL","NULL","-1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"100000539582819651179524196664896740925","238","54b8e6fcf9f6c7a5c7536db037996a5e","80259","0","2013-03-30 17:00:00","NULL","238","NULL","NULL","NULL","-1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"1000005417177273116312563739461949677200","165","93fd0659adc617e0f5bf11f85fa63107","11804","0","2014-01-28 11:00:00","7","165","NULL","NULL","NULL","-1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"100000551408056004085055887710067307779","108","48a2da52953f46b050aa89fc1a846a3b","80409","0","2012-11-23 09:15:00","NULL","108","NULL","NULL","NULL","-1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"00001082661403504987","42","1a8fc960a7cb9f79cf9769b625e1087d","11885","0","2014-06-23 08:15:00","6","42","29","NULL","29","-1","NULL","NULL","NULL","NULL","0","0","NULL","NULL","0"
"100000561645584458456339834198695317399","43","23e4f184f99db513496d8234a2244347","80351","0","2013-09-09 13:15:00","NULL","43","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"100000575540409292485416570903423833710","74","0aff8e50dfa29df2e4db7c777f976fb8","11803","0","2014-02-28 15:15:00","7","74","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"100000578560802055991145263000000143678","102","41b0858ad564309429c781c3d1f35d29","80276","0","2012-11-28 11:45:00","NULL","102","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"100000606422513118223026773284550844255","115","e82689b3f0929af06cae844ac935d7d8","80479","0","2013-04-24 14:15:00","NULL","115","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
